WinNum1,WinNum2,WinNum3,WinNum4,WinNum5,WinNum6
8,13,26,35,45,51
1,15,24,31,34,44
3,8,29,30,31,49
21,25,39,50,54,59
15,19,32,38,47,50
21,25,27,39,44,56
3,8,13,21,33,41
8,14,19,35,42,50
1,6,23,30,40,51
5,17,30,35,41,49
5,8,21,24,50,56
8,18,34,44,50,54
3,8,25,31,38,44
1,17,25,27,28,50
1,2,32,33,36,39
7,12,20,34,51,52
8,18,21,22,26,49
9,10,20,34,55,56
6,8,11,17,22,41
21,27,29,34,41,48
5,7,13,38,44,48
5,22,35,47,52,58
10,25,35,45,48,49
2,14,15,21,48,51
7,43,46,49,52,57
1,11,35,50,55,56
6,15,18,31,48,53
2,9,18,26,36,57
6,15,26,30,55,56
19,20,25,36,38,53
2,18,21,38,39,44
17,26,35,47,55,57
1,10,20,23,29,31
1,17,32,42,43,54
11,15,31,39,47,48
1,10,17,20,23,34
5,16,21,30,38,49
11,23,28,39,44,53
11,16,20,22,30,37
1,9,32,36,56,57
9,16,21,28,30,48
18,34,37,38,42,55
2,3,30,43,55,59
16,25,28,29,46,48
14,30,33,45,52,59
14,17,23,25,39,45
4,5,10,46,50,56
4,24,30,37,40,45
8,19,22,31,44,53
15,18,25,26,27,52
7,17,29,47,57,59
8,20,22,24,33,41
4,7,19,21,26,56
7,19,44,47,48,54
3,16,27,33,51,58
8,23,25,26,40,58
9,16,20,32,34,41
21,24,36,38,41,47
2,19,26,33,50,58
15,31,33,37,49,55
2,8,11,16,37,54
7,9,13,33,35,59
2,11,15,19,23,56
2,8,17,23,27,55
7,26,39,41,50,56
8,9,10,22,31,49
10,20,30,31,42,49
4,8,14,27,44,50
6,10,17,31,35,51
5,7,21,27,29,50
6,12,15,23,39,56
16,24,32,34,39,54
9,12,13,14,23,53
1,5,10,16,28,34
5,14,23,25,33,48
4,44,46,49,54,59
12,15,31,40,47,59
6,26,35,39,50,52
14,20,21,47,51,54
7,16,30,40,51,56
3,14,22,45,50,56
1,7,11,22,42,52
6,10,13,27,29,43
2,15,20,24,48,53
7,11,21,42,45,52
4,20,26,30,54,58
27,36,37,51,58,59
5,7,15,23,32,44
18,22,30,51,55,59
3,10,24,29,44,52
18,19,25,42,52,56
7,28,37,45,48,52
5,13,21,23,38,57
4,10,28,35,38,55
2,15,23,39,54,56
5,13,23,33,45,57
6,9,29,33,52,57
4,6,19,24,33,41
4,6,7,20,44,57
13,15,19,32,34,48
9,35,41,45,54,55
7,17,36,38,48,55
9,12,18,33,36,50
3,23,29,38,45,58
3,7,11,15,52,58
11,18,35,51,53,55
4,10,23,47,53,58
14,35,36,44,51,58
